detectTime;midx;midy;x;y;width;height;roll;pitch;yaw;correctureX;correctureY;localX;localY;localXSet;localYSet
73;9;-336;547;42;205;205;-0.023704;-0.0241261;-0.510218;-0.019204;-0.192126;-0.0202053;-0.000752068;0;3.09133e-13
72;9;-336;547;42;205;205;-0.0237054;-0.0240862;-0.510308;-0.0192054;-0.192086;-0.0204052;-0.000805183;0;3.09133e-13
72;8;-336;541;37;214;214;-0.0237257;-0.0240818;-0.510318;-0.0197257;-0.192082;-0.0204052;-0.000805183;0;3.09133e-13
72;9;-335;544;40;210;210;-0.0237394;-0.0240989;-0.509926;-0.0192394;-0.191599;-0.0204052;-0.000805183;0;3.09133e-13
73;7;-336;540;37;215;215;-0.0237735;-0.0240749;-0.509891;-0.0202735;-0.192075;-0.0206059;-0.000857918;0;3.09133e-13
72;9;-336;546;41;206;206;-0.0238224;-0.0240442;-0.509817;-0.0193224;-0.192044;-0.0206059;-0.000857918;0;3.09133e-13
71;8;-336;543;39;211;211;-0.0238453;-0.0240731;-0.509581;-0.0198453;-0.192073;-0.0206059;-0.000857918;0;3.09133e-13
72;8;-336;545;41;207;207;-0.0238879;-0.0240417;-0.509911;-0.0198879;-0.192042;-0.0208076;-0.000911228;0;3.09133e-13
71;8;-336;547;43;203;203;-0.0239458;-0.0240307;-0.509802;-0.0199458;-0.192031;-0.0208076;-0.000911228;0;3.09133e-13
-928;9;-335;544;40;210;210;-0.0239602;-0.023989;-0.510561;-0.0194602;-0.191489;-0.0208076;-0.000911228;0;3.09133e-13
73;8;-335;543;40;210;210;-0.0239685;-0.0239406;-0.510959;-0.0199685;-0.191441;-0.0208076;-0.000911228;0;3.09133e-13
72;9;-336;545;40;208;208;-0.0239756;-0.0239123;-0.510778;-0.0194756;-0.191912;-0.0210122;-0.000964802;0;3.09133e-13
72;8;-336;543;39;211;211;-0.0239725;-0.0239451;-0.510631;-0.0199725;-0.191945;-0.0210122;-0.000964802;0;3.09133e-13
72;9;-335;547;43;204;204;-0.0240037;-0.0238941;-0.511099;-0.0195037;-0.191394;-0.0210122;-0.000964802;0;3.09133e-13
73;8;-337;543;38;211;211;-0.0240223;-0.0238928;-0.511372;-0.0200223;-0.192393;-0.0212101;-0.0010159;0;3.09133e-13
72;8;-336;546;42;205;205;-0.0240445;-0.0237269;-0.511793;-0.0200445;-0.191727;-0.0212101;-0.0010159;0;3.09133e-13
72;9;-336;544;39;210;210;-0.0249071;-0.0240105;-0.512465;-0.0204071;-0.19201;-0.0212101;-0.0010159;0;3.09133e-13
72;8;-335;544;41;209;209;-0.0227772;-0.0233318;-0.510804;-0.0187772;-0.190832;-0.0213982;-0.00107278;0;3.09133e-13
71;4;-335;535;36;218;218;-0.0212994;-0.0255176;-0.509128;-0.0192994;-0.193018;-0.0213982;-0.00107278;0;3.09133e-13
-928;7;-333;533;33;228;228;-0.0251355;-0.024065;-0.512284;-0.0216355;-0.190565;-0.0213982;-0.00107278;0;3.09133e-13
72;9;-337;545;39;209;209;-0.0239418;-0.0250271;-0.510973;-0.0194418;-0.193527;-0.0213982;-0.00107278;0;3.09133e-13
72;8;-333;536;35;224;224;-0.0244668;-0.0249274;-0.511963;-0.0204668;-0.191427;-0.0216247;-0.00112018;0;3.09133e-13
72;8;-335;541;38;215;215;-0.0219516;-0.0245139;-0.512459;-0.0179516;-0.192014;-0.0216247;-0.00112018;0;3.09133e-13
72;4;-336;540;40;208;208;-0.0217613;-0.0237037;-0.511573;-0.0197613;-0.191704;-0.0216247;-0.00112018;0;3.09133e-13
74;5;-338;542;39;207;207;-0.0219479;-0.023325;-0.51142;-0.0194479;-0.192325;-0.0218166;-0.00117828;0;3.09133e-13
